location,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Relative Humidity,Wind Gust,Cloud Cover Total,Mean Sea Level Pressure
unit,°C,mm,%,km/h,%,hPa
level,2 m elevation corrected,sfc,2 m,sfc,sfc,MSL
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Gust,Basel Cloud Cover Total,Basel Mean Sea Level Pressure [MSL]
20240104T0900,8.480246,0.0,82.25587,42.48,69.0,1012.6
20240104T1000,8.730246,0.2,81.09537,47.88,70.0,1013.1
20240104T1100,9.210245,0.2,78.71801,44.639996,89.0,1013.0
20240104T1200,9.740245,0.0,77.76958,46.44,65.0,1012.4
20240104T1300,9.940246,0.2,76.03872,44.28,38.0,1011.8
20240104T1400,9.890245,0.1,74.14545,39.6,36.0,1011.5
20240104T1500,9.380245,0.0,75.78089,36.0,28.800001,1011.0
20240104T1600,7.3902454,0.0,82.79874,25.919998,27.6,1010.4
20240104T1700,8.090245,0.0,79.87262,20.16,29.1,1010.5
20240104T1800,5.480245,0.0,90.58234,14.4,30.000002,1010.1
20240104T1900,5.1202455,0.0,92.62564,16.56,29.1,1009.8
20240104T2000,4.7602453,0.0,93.589226,16.919998,29.7,1009.5
20240104T2100,4.2402453,0.0,95.70598,18.359999,29.400002,1008.8
20240104T2200,3.9602456,0.0,95.42036,18.359999,65.0,1008.7
20240104T2300,4.0502453,0.0,95.76462,18.72,63.0,1008.4
20240105T0000,4.150245,0.0,95.90553,19.08,56.0,1008.0
20240105T0100,4.3302455,0.0,95.37175,19.44,70.0,1007.4
20240105T0200,4.380245,0.0,94.29815,19.8,30.0,1006.9
20240105T0300,4.4402456,0.0,93.104416,19.44,27.000002,1006.6
20240105T0400,4.770245,0.0,91.68544,19.44,45.0,1006.0
